Product,Description,Barcode,Colour,Size,Brand,Hierachy,UOM,SRP,Trade Price,Vat Code,Vat Rate,Web Friendly Description,Image Filename,Stock Flag,Pack Contents,Division Code,Discontinued Flag,Supersession Code,Unit Price,Country of Origin,Break Qty 1,Break Price 1,Break Qty 2,Break Price 2,Break Qty 3,Break Price 3,Break Qty 4,Break Price 4,Break Qty 5,Break Price 5
000 9121,B/BEARING 3/16in Pk 20,4.52467E+12,silver,3/16in,Shimano Spares,FPWHAB,Pack of 20,2.99,1.74,NOR,20,"3/16 inch Ball Bearings, 20 Pack",Y00091210,Y,1,SHM,N,,1.74,MY,1,1.74,1,0,1,0,1,0,1,0
000 9127,B/BEARING 3/16in S/S Pk 22,4.52467E+12,silver,3/16in,Shimano Spares,FPWHAB,Pack of 22,6.99,4.08,NOR,20,"3/16 inch Stainless Steel Ball Bearings, Pack of 22",Y00091270,Y,1,SHM,N,,4.08,MY,1,4.08,1,0,1,0,1,0,1,0
000 9131,B/BEARING 1/4in Pk 18,4.52467E+12,silver,1/4in,Shimano Spares,FPWHAB,Pack of 18,2.99,1.74,NOR,20,"1/4 inch Ball Bearings, Pack of 18",000_9131,Y,1,SHM,N,,1.74,MY,1,1.74,1,0,1,0,1,0,1,0
000 9137,B/BEARING 1/4in S/S Pk 18,4.52467E+12,silver,1/4in,Shimano Spares,FPWHAB,Pack of 18,8.99,5.25,NOR,20,"1/4 inch stainless steel ball bearings, pack of 18",Y00091370,N,1,SHM,N,,5.25,JP,1,5.25,1,0,1,0,1,0,1,0
012 3478-5,SPRE WHR500-A-F spoke 278mm,4.52467E+12,black,278mm,Shimano Spares,FPWHAF,Each,4.99,2.91,NOR,20,"WH-R500-A-F spoke 278 mm, bladed type",shimanospareslogo,Y,1,SHM,N,,2.26,MY,1,2.26,1,0,1,0,1,0,1,0
012 3486-5,SPRE WHR500AR aero spoke 286mm,4.52467E+12,black,286mm,Shimano Spares,FPWHAF,Each,4.99,2.91,NOR,20,WH-R500-A-R bladed spoke - 286 mm,shimanospareslogo,Y,1,SHM,N,,2.26,MY,1,2.26,1,0,1,0,1,0,1,0
012 3Z78-5,SPRE WHR500F spoke 278mm,4.52467E+12,black,278mm,Shimano Spares,FPWHAF,Each,4.99,2.91,NOR,20,WH-R500 front spoke 278 mm,shimanospareslogo,Y,1,SHM,N,,2.26,MY,1,2.26,1,0,1,0,1,0,1,0
012 3Z86-5,SPRE WHR500R round spoke 286mm,4.52467E+12,black,286mm,Shimano Spares,FPWHAF,Each,4.99,2.91,NOR,20,WH-R500 rear spoke 286 mm drive side,shimanospareslogo,Y,1,SHM,N,,2.26,MY,1,2.26,1,0,1,0,1,0,1,0
012 A604-7,SPRE WHRS10 spoke 304mm BK,4.52467E+12,black,304mm,Shimano Spares,FPWHAF,Each,4.99,2.91,NOR,20,WH-RS10 spoke 304 mm black,shimanospareslogo,Y,1,SHM,N,,2.91,MY,1,2.91,1,0,1,0,1,0,1,0
012 AB84-5,SPRE WHRS20 spoke 284 mm BK,4.52467E+12,black,one size,Shimano Spares,FPWHAF,Each,4.99,2.91,NOR,20,WH-RS20 spoke black 284 mm,shimanospareslogo,Y,1,SHM,Y,,2.91,MY,1,2.91,1,0,1,0,1,0,1,0
