Part number;Size;Colour;Barcode;File name;Short description;Long description;RRP;VAT;Trade;Box Qty;Brand;Search 1;Search 2;Cat A;Cat B;Cat C;Year;Item group;Retail group;Product group;Net price 440056;Net price 450141;Net price 411578
"2110017243";XS;Carbon;"4712878655973";;TCR Advanced 2 Disc-Pro Compact XS Carbon;http://www.giant-bicycles.com/go/?c=UK&axid=2110017;2299;20,00;1915.83;1;Giant;TCR Advanced 2 Disc-Pro Compact;;Bike;Road Drop Bar;Men's;2021;2110017;;;1302,76;1302,76;1302,76
"2110021146";ML;Blue Ashes;"4712878647985";;TCR Advanced 3 Disc ML Blue Ashes;http://www.giant-bicycles.com/go/?c=UK&axid=2110021;2099;20,00;1749.17;1;Giant;TCR Advanced 3 Disc;;Bike;Road Drop Bar;Men's;2021;2110021;;;1189,44;1189,44;1189,44
"2110025115";M;Grayish Blue;"4712878591943";;Avail 2 M Grayish Blue;http://www.giant-bicycles.com/go/?c=UK&axid=2110025;749;20,00;624.17;1;Liv;Avail 2;;Bike;Road Drop Bar;Women's;2021;2110025;;;424,44;424,44;424,44
"2110035115";M;Metallic Navy;"4712878607880";;Contend AR 1 M Metallic Navy;http://www.giant-bicycles.com/go/?c=UK&axid=2110035;1799;20,00;1499.17;1;Giant;Contend AR 1;;Bike;Road Drop Bar;Men's;2021;2110035;;;1124,38;899,50;899,50
"2110112114";S;Charcoal;"4712878611481";;Escape 1 Disc S Charcoal;http://www.giant-bicycles.com/go/?c=UK&axid=2110112;799;20,00;665.83;1;Giant;Escape 1 Disc;;Bike;Comfort Cross/Sport;Men's;2021;2110112;;;499,37;399,50;399,50
"2110112118";XL;Charcoal;"4712878611511";;Escape 1 Disc XL Charcoal;http://www.giant-bicycles.com/go/?c=UK&axid=2110112;799;20,00;665.83;1;Giant;Escape 1 Disc;;Bike;Comfort Cross/Sport;Men's;2021;2110112;;;499,37;399,50;399,50
"2110115217";L;Garnet;"4712878611146";;Escape 2 Disc L Garnet;http://www.giant-bicycles.com/go/?c=UK&axid=2110115;699;20,00;582.5;1;Giant;Escape 2 Disc;;Bike;Comfort Cross/Sport;Men's;2021;2110115;;21escape2discgar;436,88;349,50;349,50
"2110137117";L;Carbon;"4712878683839";;FastRoad Advanced 1 L Carbon;http://www.giant-bicycles.com/go/?c=UK&axid=2110137;1849;20,00;1540.83;1;Giant;FastRoad Advanced 1;;Bike;Road Flat Bar;Men's;2021;2110137;;;1155,62;924,50;924,50
"2110141117";L;Eclipse;"4712878614093";;FastRoad SL 2 L Eclipse;http://www.giant-bicycles.com/go/?c=UK&axid=2110141;899;20,00;749.17;1;Giant;FastRoad SL 2;;Bike;Road Flat Bar;Men's;2021;2110141;;;561,88;449,50;449,50
"2111016214";S;Black / Charcoal;"4712878688193";;Fathom 29 1 S Black/Charcoal;http://www.giant-bicycles.com/go/?c=UK&axid=2111016;1649;20,00;1374.17;1;Giant;Fathom 29 1;;Bike;MTB FS;Men's;2021;2111016;;;1030,63;824,50;824,50
"2111103117";L;Concrete;"4712878645387";;Talon 2 L Concrete;http://www.giant-bicycles.com/go/?c=UK&axid=2111103;599;20,00;499.17;1;Giant;Talon 2;;Bike;MTB FS;Men's;2021;2111103;;;374,38;299,50;299,50
"2111103245";M;Red Clay;"4712878674172";;Talon 2 M Red Clay;http://www.giant-bicycles.com/go/?c=UK&axid=2111103;599;20,00;499.17;1;Giant;Talon 2;;Bike;MTB FS;Men's;2021;2111103;;;374,38;299,50;299,50
"2111104114";S;Blue Ashes;"4712878646223";;Talon 29 0 S Blue Ashes;http://www.giant-bicycles.com/go/?c=UK&axid=2111104;949;20,00;435;1;Giant;Talon 29 0;;Bike;MTB FS;Men's;2021;2111104;;;435,00;435,00;435,00
"2111104118";XL;Blue Ashes;"4712878646261";;Talon 29 0 XL Blue Ashes;http://www.giant-bicycles.com/go/?c=UK&axid=2111104;949;20,00;790.83;1;Giant;Talon 29 0;;Bike;MTB FS;Men's;2021;2111104;;;593,12;474,50;474,50
"2111111115";M;Metallic Black;"4712878644717";;Talon 3 M Metallic Black;http://www.giant-bicycles.com/go/?c=UK&axid=2111111;499;20,00;415.83;1;Giant;Talon 3;;Bike;MTB FS;Men's;2021;2111111;;;282,76;282,76;282,76
"2111125215";M;Teal;"4712878649156";;Tempt 3 M Teal;http://www.giant-bicycles.com/go/?c=UK&axid=2111125;499;20,00;415.83;1;Liv;Tempt 3;;Bike;MTB FS;Women's;2021;2111125;;;282,76;282,76;282,76
"2112003116";ML;Gunmetal Black;"4712878609495";;Revolt 0 ML Gunmetal Black;http://www.giant-bicycles.com/go/?c=UK&axid=2112003;1799;20,00;1499.17;1;Giant;Revolt 0;;Bike;Road Drop Bar;Men's;2021;2112003;;;1124,38;899,50;899,50
